,joke,label,joke_length_in_words
71,How do System of a Down stop their vocalist being electrocuted on stage? A Serj Protector,jokes,16
73,Well now that the BTS boys are going to the army i guess they'll come back with BTSD,jokes,18
74,What was Robin Hood's favourite variety of font? Sans-sheriff,jokes,9
76,My grandma likes to prank us by pretending to choke on her food It’s an old gag,jokes,17
80,My girlfriend suffers from a condition called gigantomastia It’s a mouthful.,jokes,11
81,Which Martial Art do Cows Practice? MOO THAI,jokes,8
82,I got into a fight with Dwayne Johnson and a tough guy fish I couldn't get out of... I was stuck between a rock and a hard plaice,jokes,28
83,"I have a GREAT new bag. I filled it halfway. Next day, I filled half the remaining volume. Next day, half the remaining volume... at this rate, it'll never fill up! I just love my Asymp tote bag.",jokes,38
85,"Did you ever hear that joke about Taylor series? I don’t remember it exactly, but I can tell it pretty close.",jokes,21
88,What do masturbation and brain damage have in common? After a few strokes it’s all over!,jokes,16
89,What do call the guy who farts in the corn maze? >!A crop duster ! !<,jokes,16
90,"Doctor to the patient: ""You really need to stop masturbing."" ""But it's healthy and I can do whatever I want!"", the patient answered.

""Yes, but it really interferes with my examination right now.""",jokes,32
91,How did the Pimp stash his drugs? He used his Heidi hoe,jokes,12
94,Shakespeare was able to write with either his left or right hand equally well... He was iambidextrous.,jokes,17
95,I can hear throught walls. I have X-thunder vision,jokes,9
96,Do you know what I love? Halloween. There's nothing quite like the look on a kids face after they take a bite of a big ole caramel covered onion.,jokes,29
98,Why are Jim Jones jokes still funny? The punchline kills.,jokes,10
99,Q: How do you define duodenum? A: It’s where shit starts to get real.,jokes,14
