,joke,label,joke_length_in_words
50,"7yo (crying): ""I was going to draw a chameleon but 9yo said I couldn't."" Wife: ""You can draw a chameleon?"" (7yo nods)... Me:  ""I can too.  I already did.  It's so good, you can't even see where I drew it.""  

7yo and wife:  Conversation stops, eyes roll, crisis averted.",dadjokes,54
51,My wife thinks I'm a selfish narcissistic jerk But enough about her,dadjokes,12
52,What kind of car did Jesus drive? A Christler.,dadjokes,9
53,I’m on a new diet where I only eat out of my gloves It’s an inner mitten diet,dadjokes,18
54,I just learned you're supposed to pee on a jellyfish Sting NOT a jelly stain. To the lady at the Waffle House: I am SO sorry.,dadjokes,26
55,Where was Stuart Little buried when he died? The mouseleam,dadjokes,10
56,What do you call it when a man gives a woman unwanted advice about her ankle injury? Manspraining.,dadjokes,18
57,How can you tell the difference between a chemist and a plumber? Ask them to pronounce “unionized”,dadjokes,17
58,Why do Origami makers never win at Poker? Because they're always folding!,dadjokes,12
59,Why don't monsters eat ghosts? They taste like sheet.,dadjokes,9
60,"Before we married, my wife built up quite a collection of East Asian porcelain dinnerware. It’s maiden china.",dadjokes,18
61,"""The food at our last work meeting was terrible."" Colleague: ""Well, you should bring it up at the next one.""",dadjokes,20
62,"Covid, H.I.V. and the Flue, walks into a bar.... Bartender says, ""What is this, some kind of sick joke?""",dadjokes,19
63,"At breakfast, I told my son, ""Did you know that if your hand is bigger than your face, it's a sign of low intelligence?"" This is the first time I got a bona-fide face-palm to one of my dad jokes",dadjokes,40
64,The FBI reported that a criminal psychic was now on the country’s most wanted list. He’s now a medium at large.,dadjokes,21
65,What is a snake’s favorite subject in school? Hisss-tory,dadjokes,9
66,Honda used to be a good car company... >!but now they have no Sol!<,dadjokes,14
67,How can you tell when a joke becomes a dad joke? it's when it becomes aparent.,dadjokes,16
68,I had to create a report on how wind energy is produced It was a breeze.,dadjokes,16
69,"Who's the coolest guy in the hospital? The ultrasound guy!

Who's the second coolest guy in the hospital?

The hip replacement guy!",dadjokes,20
70,"my son's (3yo) first dad joke Me: (hearing him sniffle) is your nose running?

Son: (looks offended) no is walking!",dadjokes,19
71,I lost my job at the grocery store stocking orange juice I just couldn’t concentrate,dadjokes,15
72,"Saw a guy wearing a camouflage hat... and I thought to myself, where's his head at?",dadjokes,16
73,"My therapist told me to write letters to the people who hurt me the most and then burn them. OK, but now what do I do with the letters?",dadjokes,29
74,"In the Old West, cowboys used to hang lanterns on the side of their horses to see at night. Yeah. It was the first form of saddle-light navigation.",dadjokes,28
75,"I always say ""muchas"" to my Spanish friends It means a lot to them",dadjokes,14
76,How do you find Will Smith in the snow? You follow the fresh prints,dadjokes,14
77,I quit my job at the miniature light bulb factory. Every month the pay was a little light.,dadjokes,18
78,Everyone at my job has a name… …except for,dadjokes,9
79,Did you hear about the vitamin shop owner who found out he was anemic? Talk about irony,dadjokes,17
80,Always take your phone with you into the bathroom. Just in case nature calls.,dadjokes,14
81,I love my new smartphone! It's the apple of my i,dadjokes,11
82,Q: What do you Call an Orgy for Vampires? A:  A fang-bang.,dadjokes,13
83,what have you got when you got one mothball in one hand and another in another hand A giant moth by its balls,dadjokes,23
84,What do you call jam made of humans? A traffic jam!,dadjokes,11
85,Can't believe I got a hole in my favourite shoes. I guess it's true what they say... ... time wounds all heels.,dadjokes,22
86,Why do we usually use the Fancy Pants editor when writing posts on Reddit? Because Mark is usually feeling quite down,dadjokes,21
87,What position in the NFL gives you money to play it? Quarterback,dadjokes,12
88,What's the biggest moon in the Solar System? Uranus,dadjokes,9
89,What do you get when you teach a wolf to meditate? Aware wolf.,dadjokes,13
90,Did you hear about what happened to General Custard’s widow? She died of a broken tart,dadjokes,16
91,“She loves me not” he sighed while removing the last pedal But at least the look on the cyclists faces made it sting less,dadjokes,24
92,I quit my job at the helium gas factory I didn’t like being spoken to in that tone.,dadjokes,18
93,Have you ever considered a career as a commercial airline pilot? I hear there's plenty of room for upward mobility.,dadjokes,20
94,We all know that 6 was scared of 7 because 789... but why did 7 ate 9? Because one is supposed to eat three squared meals a day,dadjokes,28
95,Why was Iron Man invited to the frat party? Cause he's our DJ,dadjokes,13
96,"Would you rather go out with Narcissa Malfoy or Dolores Umbridge? I'm not sure I want to choose between Pride and Prejudice, they both sound equally horrible",dadjokes,27
97,what becomes shorter when you add letters to it? Short.,dadjokes,10
98,What do you call a “c” that’s real? cereal,dadjokes,9
99,Why did the man at the can makin factory quit ? it was Soda-pressing,dadjokes,14
