,joke,label,no_of_words
33,What do you call a harvest of dad jokes? A cornycopia.,dadjokes,54
34,God initially planned to use wasps to pollinate flowers  but in the end he went with plan Bee.,dadjokes,94
35,What do the birds and I have in common? We both cannot walk in the sky,dadjokes,70
36,We went through 45 pull-ups at the gym And my infant son still hasn't stopped shitting,dadjokes,86
37,A blind lady once asked me to help find her bible It was the search for the holy braille,dadjokes,88
38,I can come up with airplane jokes on the spot.. I do it on the fly.,dadjokes,67
39,"I was working on a construction site and the delivery driver asked ""why won't you sign for the elevators""? I told him that I'm not allowed to accept lifts off strangers!",dadjokes,169
40,What kind of drug does Elmer Fud use? Cuack cocaine,dadjokes,51
41,what porn website are Air conditioners not allowed to visit? Onlyfans,dadjokes,69
42,I made my fish listen to a whole Eminiem album Now he's swim shady,dadjokes,66
43,"Whats the difference between a hippo and a Zippo? Ones really heavy, the others a little lighter.",dadjokes,97
44,"In order to kill a French vampire, you will need to stab him with a baguette. A painstaking task, if you ask me.",dadjokes,112
45,"My daughter got angry at me when I told her we were having bread for dinner ""That's all you'll baguetting if you don't stop complaining"" I replied",dadjokes,146
46,When my wife died I couldnt shower alone for 12 years But Im out of prison now,dadjokes,78
47,"Onya, the Track and Field Legend Everyone knows Karl Marx. His sister Onya was a track and field legend. She was such a big star, even in modern times, at the start of any race around the world, her name is said loudly.",dadjokes,219
48,Five ants rented an apartment with five other ants Now they're tenants,dadjokes,70
49,"7yo (crying): ""I was going to draw a chameleon but 9yo said I couldn't."" Wife: ""You can draw a chameleon?"" (7yo nods)... Me:  ""I can too.  I already did.  It's so good, you can't even see where I drew it.""  7yo and wife:  Conversation stops, eyes roll, crisis averted.",dadjokes,268
50,My wife thinks I'm a selfish narcissistic jerk But enough about her,dadjokes,67
51,What kind of car did Jesus drive? A Christler.,dadjokes,46
52,Im on a new diet where I only eat out of my gloves Its an inner mitten diet,dadjokes,75
53,I just learned you're supposed to pee on a jellyfish Sting NOT a jelly stain. To the lady at the Waffle House: I am SO sorry.,dadjokes,125
54,Where was Stuart Little buried when he died? The mouseleam,dadjokes,58
55,What do you call it when a man gives a woman unwanted advice about her ankle injury? Manspraining.,dadjokes,98
56,How can you tell the difference between a chemist and a plumber? Ask them to pronounce unionized,dadjokes,96
57,Why do Origami makers never win at Poker? Because they're always folding!,dadjokes,73
58,Why don't monsters eat ghosts? They taste like sheet.,dadjokes,53
59,"Before we married, my wife built up quite a collection of East Asian porcelain dinnerware. Its maiden china.",dadjokes,108
60,"""The food at our last work meeting was terrible."" Colleague: ""Well, you should bring it up at the next one.""",dadjokes,108
61,"Covid, H.I.V. and the Flue, walks into a bar.... Bartender says, ""What is this, some kind of sick joke?""",dadjokes,104
62,"At breakfast, I told my son, ""Did you know that if your hand is bigger than your face, it's a sign of low intelligence?"" This is the first time I got a bona-fide face-palm to one of my dad jokes",dadjokes,194
63,The FBI reported that a criminal psychic was now on the countrys most wanted list. Hes now a medium at large.,dadjokes,109
64,What is a snakes favorite subject in school? Hisss-tory,dadjokes,55
65,Honda used to be a good car company... >!but now they have no Sol!<,dadjokes,67
66,How can you tell when a joke becomes a dad joke? it's when it becomes aparent.,dadjokes,78
67,I had to create a report on how wind energy is produced It was a breeze.,dadjokes,72
68,Who's the coolest guy in the hospital? The ultrasound guy!Who's the second coolest guy in the hospital?The hip replacement guy!,dadjokes,127
69,my son's (3yo) first dad joke Me: (hearing him sniffle) is your nose running?Son: (looks offended) no is walking!,dadjokes,113
70,I lost my job at the grocery store stocking orange juice I just couldnt concentrate,dadjokes,83
71,"Saw a guy wearing a camouflage hat... and I thought to myself, where's his head at?",dadjokes,83
72,"My therapist told me to write letters to the people who hurt me the most and then burn them. OK, but now what do I do with the letters?",dadjokes,135
73,"In the Old West, cowboys used to hang lanterns on the side of their horses to see at night. Yeah. It was the first form of saddle-light navigation.",dadjokes,147
74,"I always say ""muchas"" to my Spanish friends It means a lot to them",dadjokes,66
75,How do you find Will Smith in the snow? You follow the fresh prints,dadjokes,67
76,I quit my job at the miniature light bulb factory. Every month the pay was a little light.,dadjokes,90
77,Everyone at my job has a name except for,dadjokes,40
78,Did you hear about the vitamin shop owner who found out he was anemic? Talk about irony,dadjokes,87
79,Always take your phone with you into the bathroom. Just in case nature calls.,dadjokes,77
80,I love my new smartphone! It's the apple of my i,dadjokes,48
81,Q: What do you Call an Orgy for Vampires? A:  A fang-bang.,dadjokes,58
82,what have you got when you got one mothball in one hand and another in another hand A giant moth by its balls,dadjokes,109
83,What do you call jam made of humans? A traffic jam!,dadjokes,51
84,Can't believe I got a hole in my favourite shoes. I guess it's true what they say... ... time wounds all heels.,dadjokes,111
85,Why do we usually use the Fancy Pants editor when writing posts on Reddit? Because Mark is usually feeling quite down,dadjokes,117
86,What position in the NFL gives you money to play it? Quarterback,dadjokes,64
87,What's the biggest moon in the Solar System? Uranus,dadjokes,51
88,What do you get when you teach a wolf to meditate? Aware wolf.,dadjokes,62
89,Did you hear about what happened to General Custards widow? She died of a broken tart,dadjokes,85
90,She loves me not he sighed while removing the last pedal But at least the look on the cyclists faces made it sting less,dadjokes,119
91,I quit my job at the helium gas factory I didnt like being spoken to in that tone.,dadjokes,82
92,Have you ever considered a career as a commercial airline pilot? I hear there's plenty of room for upward mobility.,dadjokes,115
93,We all know that 6 was scared of 7 because 789... but why did 7 ate 9? Because one is supposed to eat three squared meals a day,dadjokes,127
94,Why was Iron Man invited to the frat party? Cause he's our DJ,dadjokes,61
95,"Would you rather go out with Narcissa Malfoy or Dolores Umbridge? I'm not sure I want to choose between Pride and Prejudice, they both sound equally horrible",dadjokes,157
96,what becomes shorter when you add letters to it? Short.,dadjokes,55
97,What do you call a c thats real? cereal,dadjokes,39
98,Why did the man at the can makin factory quit ? it was Soda-pressing,dadjokes,68
