,joke,label,joke_length_in_words
38,Eating in the dark is bad for your health. I prefer lighter lunches,dadjokes,13
39,Why do police get to riots early? To beat the crowd.,dadjokes,11
40,"7yo (crying): ""I was going to draw a chameleon but 9yo said I couldn't."" Wife: ""You can draw a chameleon?"" (7yo nods)... Me:  ""I can too.  I already did.  It's so good, you can't even see where I drew it.""  

7yo and wife:  Conversation stops, eyes roll, crisis averted.",dadjokes,54
41,God initially planned to use wasps to pollinate flowers.  but in the end he went with plan Bee.,dadjokes,19
42,We went through 45 pull-ups at the gym. And my infant son still hasn't stopped shitting,dadjokes,16
43,"I’m not a gynaecologist, but I’ll take look.",dadjokes,8
44,What do you call it when a man gives a woman unwanted advice about her ankle injury? Manspraining.,dadjokes,18
45,A blind lady once asked me to help find her bible. It was the search for the holy braille,dadjokes,19
46,"I was working on a construction site and the delivery driver asked ""why won't you sign for the elevators""? I told him that I'm not allowed to accept lifts off strangers!",dadjokes,31
47,What kind of drug does Elmer Fud use? Cuack cocaine,dadjokes,10
48,"In order to kill a French vampire, you will need to stab him with a baguette. A painstaking task, if you ask me.",dadjokes,23
49,I made my fish listen to a whole Eminiem album. Now he's swim shady,dadjokes,14
50,"What’s the difference between a hippo and a Zippo? One’s really heavy, the other’s a little lighter.",dadjokes,17
51,When my wife died I couldn’t shower alone for 12 years. But I’m out of prison now,dadjokes,17
52,"My daughter got angry at me when I told her we were having bread for dinner. ""That's all you'll baguetting if you don't stop complaining"" I replied",dadjokes,27
53,"Onya, the Track and Field Legend. Everyone knows Karl Marx. His sister Onya was a track and field legend. She was such a big star, even in modern times, at the start of any race around the world, her name is said loudly.",dadjokes,43
54,Five ants rented an apartment with five other ants. Now they're tenants,dadjokes,12
55,"There's good news and bad news. Which would you rather hear first? Bad news: >!There is no good news.!<

Good news: >!There is no bad news.!<

&#x200B;",dadjokes,25
56,The teacher prefers my friend just because he believes in God and I don't. She's such a bious person.,dadjokes,19
57,I just learned you're supposed to pee on a jellyfish Sting NOT a jelly stain. To the lady at the Waffle House: I am SO sorry.,dadjokes,26
58,How can you tell the difference between a chemist and a plumber? Ask them to pronounce “unionized”,dadjokes,17
59,I’m on a new diet where I only eat out of my gloves. It’s an inner mitten diet,dadjokes,18
60,My wife thinks I'm a selfish narcissistic jerk. But enough about her,dadjokes,12
61,What kind of car did Jesus drive? A Christler.,dadjokes,9
62,Where was Stuart Little buried when he died? The mouseleam,dadjokes,10
63,Why do Origami makers never win at Poker? Because they're always folding!,dadjokes,12
64,"Saw a guy wearing a camouflage hat... and I thought to myself, where's his head at?",dadjokes,16
65,The FBI reported that a criminal psychic was now on the country’s most wanted list. He’s now a medium at large.,dadjokes,21
66,Why don't monsters eat ghosts? They taste like sheet.,dadjokes,9
67,"Before we married, my wife built up quite a collection of East Asian porcelain dinnerware. It’s maiden china.",dadjokes,18
68,"""The food at our last work meeting was terrible."". Colleague: ""Well, you should bring it up at the next one.""",dadjokes,20
69,"Covid, H.I.V. and the Flue, walks into a bar.... Bartender says, ""What is this, some kind of sick joke?""",dadjokes,19
70,"At breakfast, I told my son, ""Did you know that if your hand is bigger than your face, it's a sign of low intelligence?"". This is the first time I got a bona-fide face-palm to one of my dad jokes",dadjokes,40
71,What is a snake’s favorite subject in school? Hisss-tory,dadjokes,9
72,How can you tell when a joke becomes a dad joke? it's when it becomes aparent.,dadjokes,16
73,Honda used to be a good car company... >!but now they have no Sol!<,dadjokes,14
74,What do you call jam made of humans? A traffic jam!,dadjokes,11
75,I had to create a report on how wind energy is produced. It was a breeze.,dadjokes,16
76,Everyone at my job has a name…. …except for,dadjokes,9
77,"Who's the coolest guy in the hospital? The ultrasound guy!

Who's the second coolest guy in the hospital?

The hip replacement guy!",dadjokes,20
78,"my son's (3yo) first dad joke. Me: (hearing him sniffle) is your nose running?

Son: (looks offended) no is walking!",dadjokes,19
79,"My therapist told me to write letters to the people who hurt me the most and then burn them. OK, but now what do I do with the letters?",dadjokes,29
80,I lost my job at the grocery store stocking orange juice. I just couldn’t concentrate,dadjokes,15
81,"In the Old West, cowboys used to hang lanterns on the side of their horses to see at night. Yeah. It was the first form of saddle-light navigation.",dadjokes,28
82,"I always say ""muchas"" to my Spanish friends. It means a lot to them",dadjokes,14
83,How do you find Will Smith in the snow? You follow the fresh prints,dadjokes,14
84,I quit my job at the miniature light bulb factory. Every month the pay was a little light.,dadjokes,18
85,Did you hear about the vitamin shop owner who found out he was anemic? Talk about irony,dadjokes,17
86,Always take your phone with you into the bathroom. Just in case nature calls.,dadjokes,14
87,Have you ever considered a career as a commercial airline pilot? I hear there's plenty of room for upward mobility.,dadjokes,20
88,I love my new smartphone! It's the apple of my i,dadjokes,11
89,Q: What do you Call an Orgy for Vampires? A:  A fang-bang.,dadjokes,13
90,what have you got when you got one mothball in one hand and another in another hand. A giant moth by its balls,dadjokes,23
91,Can't believe I got a hole in my favourite shoes. I guess it's true what they say... ... time wounds all heels.,dadjokes,22
92,Why do we usually use the Fancy Pants editor when writing posts on Reddit? Because Mark is usually feeling quite down,dadjokes,21
93,What position in the NFL gives you money to play it? Quarterback,dadjokes,12
94,What's the biggest moon in the Solar System? Uranus,dadjokes,9
95,What do you get when you teach a wolf to meditate? Aware wolf.,dadjokes,13
96,Did you hear about what happened to General Custard’s widow? She died of a broken tart,dadjokes,16
97,“She loves me not” he sighed while removing the last pedal. But at least the look on the cyclists faces made it sting less,dadjokes,24
98,We all know that 6 was scared of 7 because 789... but why did 7 ate 9? Because one is supposed to eat three squared meals a day,dadjokes,28
99,"Reposts... r/Jokes has a search feature, input the title or punchline of your joke (before posting) and if it's been posted within the last month - please don't submit it.",jokes,30
100,"A boy excitedly reports to his miserly father... ""Papa!"" the boy exclaims. ""Instead of buying a bus ticket, I ran home behind the bus and saved a dollar!""

The father immediately slaps the child. ""Spendthrift!"" he screams. ""You could have run home behind a taxi and saved twenty!""",jokes,47
101,"How to determine sex of aquarium fish? Easy. Give it some food. If he eats it, then it's a male, if she eats it, then it's a female.",jokes,28
102,"Why do they bury lawyers 12 feet deep? Because deep down, they're really nice guys.",jokes,15
103,"As the patient recovers from laser eye surgery, the surgeon comes in asks if they want the good news or the bad news first...... The patient excitedly replies, “I’ll take the good news first.”

The surgeon tells them, “Well, you’re about to get a new dog!”",jokes,45
104,"""Sorry, we don't serve time travelers here."" The bartender said. A time traveler walks into a bar",jokes,17
105,You hear about the man who killed his wife because she couldn’t remember the synonym for train? It was a locomotive,jokes,21
106,I quit my job at the helium gas factory. I didn't like being spoken to in that tone.,jokes,18
107,What do you call a lawyer with an IQ of 50? Your Honor.,jokes,13
108,My annual cake day joke repost - how can you tell the difference between a plumber and a chemist? Ask them to pronounce unionized,jokes,24
109,"A girl went to confession. Girl: I think I am pregnant.

Priest: How did this happen my child?

Girl: I think it might have been the second coming.

Priest: What makes you think it's the second coming?

Girl: Because I swallowed the first one father.",jokes,41
110,"Big Bird walks into a bar.  Big Bird walks into a gritty bar off Sesame Street and sits all alone and orders a beer. ""Sometimes I just feel left out by all my peers. You know, all alone,"" he complains to the bartender. ""I guess I just feel ostrich sized.""",jokes,51
111,The inventor of virtual reality has died. VR sorry for his death,jokes,12
112,Why does Snoop Dogg carry an umbrella? Fo’ drizzle.,jokes,9
113,So it's ok for DC to call a character Black Adam? But when I call my coworker Black Tony I get called into HR.,jokes,24
114,"What do you call when you cross a penguin with a katana? An ambulance, because nobody crosses a penguin with a katana",jokes,22
115,I always feel like a 9 or 10 after I leave a buffet.... Because I over ate.,jokes,17
116,"Picked up a hitch-hiker the other day……. the guy said to me ” I’m glad you stopped, but you do know i could be a serial killer” 

I said, “what’s the chances of two serial killers in one car”",jokes,39
117,Can you take a skin graft from your buttocks and put it on someone who isn't family? Arse skin for a friend!,jokes,22
118,"A billionaire, a worker, and an immigrant approach a table with 1000 cookies. The billionaire takes 999 cookies and tells the worker, ""watch out, that immigrant is going to snatch your cookie.""",jokes,32
119,What do you call a gay person on fire? LGBBQ,jokes,10
120,What’s 18” long and hangs around an asshole! A lawyer’s tie!,jokes,11
121,"The Doctor walked into the patients room to give him the update. "" Well I've have good news and I have bad news"" he says.
"" Give me the bad news Doc"" said the patient
"" We will have to amputate both of your feet!"" The doctor replies.

"" That really is bad news, so what's the good news""

 ""The guy in the bed beside you wants to buy your slippers!!""",jokes,68
122,I've been clean for 52 days now. It's weird to shower everyday but at least I got the heroin to cope with it.,jokes,23
123,"My girlfriend called me a gullible idiot and said I shouldn't believe everything I see on the Internet. I told her I don't have to put up with this, not when there are desperate single milfs less than a mile away",jokes,41
124,"An excited kid rushes home to tell his dad the good news. He tells his dad he got a part in the school play. The dad congratulates the son and asks what part he got. Son says I’m playing the part of a man who’s been married to the same woman for 25 years. Dad says nice son, just keep at it, maybe next time you’ll get a speaking part.",jokes,70
125,Ever since I made the switch from a king sized bed to a hammock.... I've had serious trouble getting out of bed in the morning.,jokes,25
126,"How to comfort a grammar Nazi? There, their, they're.",jokes,9
127,"I had to apologize to my girlfriend for watching gay porn again. ""Sorry, I wasn't thinking straight.""",jokes,17
128,"How do you know if an ant’s a boy or girl? They’re all girls, otherwise they’d be uncles!",jokes,18
129,"Two guys walk into a bar. 







One gets up.",jokes,9
130,I caught my coworker watching porn during our meeting. He said this is his home security camera,jokes,17
131,"I went to the movies and there was a man who brought his dog into the theater with him. After the movie, I went up to the man and I said ""Hey this might sound weird, but it seemed like your dog was really enjoying the movie."" The man said ""Yeah, I'm suprised too, because he *hated* the book!""",jokes,59
132,"Joke Request: Best man speech. I am writing a best man speech for my brothers wedding. Him and his fiance met at schoolies (a big holiday of partying people go to when they finish school un Australia). Does anyone have any good jokes about this I could put in my speech, or any other best man speech jokes I could use? Preferrably offensive jokes but anything is good. Thanks/",jokes,69
133,What do call the guy who farts in the corn maze? >!A crop duster ! !<,jokes,16
134,When does Q come before P? When there's a line for the toilet.,jokes,13
135,Why did Chuck Norris cross the road? Because the road knows NEVER to cross Chuck Norris!!!,jokes,16
136,Why are rabbits afraid of the barber? That’s where you get a hare cut!,jokes,14
137,Whats the name of the body of water where the Ring of Fire is located? The Michael Bay,jokes,18
138,"[NSFW] What do a plumber and a walrus have in common? They both like a good, tight seal.",jokes,18
139,"Two men are drinking at a bar all night. Finally, one man says to the other, “I hate to break up the fun, but I’ve got to go home and take off my wife’s underwear.”. The other man replies, “What makes you think you’ll be so lucky?” The first man replies while walking out the door, “because they’ve been riding up my butt all night and I’ve had enough.”",jokes,69
140,What do you call a criminal who laughs at everything you say? Jimmy Felon,jokes,14
141,What math class does a tree with a speech disorder take? Twigonometry.,jokes,12
142,There is a haunted strip club in my town. I asked my wife if I could go see some BoOoOo-bies,jokes,20
143,My wife decided to split the house post our divorce. I got the outside...,jokes,14
144,"Doctor to the patient: ""You really need to stop masturbing."". ""But it's healthy and I can do whatever I want!"", the patient answered.

""Yes, but it really interferes with my examination right now.""",jokes,32
145,"A man sits in his doctor’s office waiting for some test results…. The doctor enters;

“So doc, what’s the prognosis?”

“Well, I’m afraid you’re going to have to stop masturbating”

“Oh no, why?”

“Because I’m trying to speak to you about your results”",jokes,39
146,How do System of a Down stop their vocalist being electrocuted on stage? A Serj Protector,jokes,16
147,Well now that the BTS boys are going to the army i guess they'll come back with. BTSD,jokes,18
148,What was Robin Hood's favourite variety of font? Sans-sheriff,jokes,9
149,My grandma likes to prank us by pretending to choke on her food. It’s an old gag,jokes,17
150,"Did you ever hear that joke about Taylor series? I don’t remember it exactly, but I can tell it pretty close.",jokes,21
151,My girlfriend suffers from a condition called gigantomastia. It’s a mouthful.,jokes,11
152,Which Martial Art do Cows Practice? MOO THAI,jokes,8
153,I got into a fight with Dwayne Johnson and a tough guy fish I couldn't get out of... I was stuck between a rock and a hard plaice,jokes,28
154,"I have a GREAT new bag. I filled it halfway. Next day, I filled half the remaining volume. Next day, half the remaining volume... at this rate, it'll never fill up! I just love my Asymp tote bag.",jokes,38
155,What do masturbation and brain damage have in common? After a few strokes it’s all over!,jokes,16
156,How did the Pimp stash his drugs? He used his Heidi hoe,jokes,12
157,is it true that everyone at the mint went on strike? because they wanted to make less money.,jokes,18
158,Shakespeare was able to write with either his left or right hand equally well... He was iambidextrous.,jokes,17
159,I can hear throught walls. I have X-thunder vision,jokes,9
160,Do you know what I love? Halloween. There's nothing quite like the look on a kids face after they take a bite of a big ole caramel covered onion.,jokes,29
